IDNumber,Age,AgeGroup,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
118006,13,12.00 to 13.99,Male,Bachelor's degree or higher,Hispanic,south,71,16,13,11,12,11,13,11,17,50,50,54,48,52,43,55,53,57
118004,15,14.00 to 15.99 years,Female,Bachelor's degree or higher,Hispanic,south,61,13,11,10,10,10,10,10,10,37,43,48,40,41,37,41,44,38
118017,13,12.00 to 13.99,Female,Bachelor's degree or higher,White,south,76,14,11,12,12,14,13,14,12,53,46,48,52,52,51,55,60,48
105026,13,12.00 to 13.99,Male,Bachelor's degree or higher,White,midwest,81,14,14,12,15,15,14,11,12,56,46,56,52,59,54,57,53,48
105034,15,14.00 to 15.99 years,Female,Bachelor's degree or higher,White,midwest,69,14,14,11,10,12,10,12,13,48,46,56,48,41,46,41,56,50
133042,13,12.00 to 13.99,Female,Bachelor's degree or higher,White,midwest,67,18,10,11,10,12,11,13,11,47,55,40,48,41,46,49,58,45
105041,12,12.00 to 13.99,Male,Bachelor's degree or higher,White,midwest,123,25,26,20,19,16,26,16,28,65,66,70,63,63,56,68,62,68
137009,13,12.00 to 13.99,Female,Some college or associate degree,White,midwest,66,15,10,12,10,12,12,10,12,45,48,40,52,41,46,52,44,48
133070,18,18.00 to 21.99 years,Female,Some college or associate degree,White,west,77,17,11,11,13,15,13,14,13,54,52,48,48,55,54,55,60,50
105065,18,18.00 to 21.99 years,Female,Bachelor's degree or higher,White,south,62,14,10,11,10,10,11,10,13,39,46,40,48,41,37,49,44,50
105064,15,14.00 to 15.99 years,Male,Bachelor's degree or higher,White,south,64,13,10,10,11,10,12,11,10,42,43,40,40,49,37,52,53,38
133068,16,16.00 to 17.99 years,Female,Some college or associate degree,MultiRacial,west,79,16,16,13,14,14,12,10,14,55,50,59,54,57,51,52,44,53
133066,15,14.00 to 15.99 years,Male,Bachelor's degree or higher,White,west,63,17,11,10,10,12,10,10,10,41,52,48,40,41,46,41,44,38
105060,19,18.00 to 21.99 years,Male,Bachelor's degree or higher,White,midwest,65,13,12,11,11,10,11,10,11,44,43,51,48,49,37,49,44,45
133069,12,12.00 to 13.99,Female,Some college or associate degree,MultiRacial,west,95,25,13,13,22,16,15,16,19,60,66,54,54,66,56,59,62,60
129013,16,16.00 to 17.99 years,Male,Bachelor's degree or higher,White,midwest,87,24,19,17,13,11,13,14,19,58,64,63,61,55,43,55,60,60
134004,12,12.00 to 13.99,Male,Bachelor's degree or higher,White,northeast,66,13,10,11,11,13,11,10,14,45,43,40,48,49,49,49,44,53
133065,15,14.00 to 15.99 years,Male,Bachelor's degree or higher,White,west,64,12,10,10,10,14,10,10,10,42,40,40,40,41,51,41,44,38
133063,16,16.00 to 17.99 years,Male,Bachelor's degree or higher,White,west,86,15,13,15,14,16,14,14,13,58,48,54,58,57,56,57,60,50
137015,12,12.00 to 13.99,Female,Some college or associate degree,White,midwest,74,20,13,11,13,10,14,13,20,52,58,54,48,55,37,57,58,61
137010,13,12.00 to 13.99,Male,Bachelor's degree or higher,White,midwest,91,22,13,14,19,14,20,11,26,59,61,54,56,63,51,64,53,66
