TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
15,51,29.8246,29.8246,,171,17,19.84,6.27
16,23,13.4503,43.2749,,,,,
17,17,9.9415,53.2164,,,,,
18,10,5.848,59.0643,,,,,
19,14,8.1871,67.2515,,,,,
20,5,2.924,70.1754,,,,,
21,3,1.7544,71.9298,,,,,
22,7,4.0936,76.0234,,,,,
23,7,4.0936,80.117,,,,,
24,5,2.924,83.0409,,,,,
26,4,2.3392,85.3801,,,,,
27,4,2.3392,87.7193,,,,,
28,1,0.5848,88.3041,cutoff,,,,
30,4,2.3392,90.6433,,,,,
31,1,0.5848,91.2281,,,,,
32,1,0.5848,91.8129,,,,,
33,2,1.1696,92.9825,,,,,
34,2,1.1696,94.152,,,,,
35,2,1.1696,95.3216,,,,,
36,2,1.1696,96.4912,,,,,
37,2,1.1696,97.6608,,,,,
38,3,1.7544,99.4152,,,,,
39,1,0.5848,100,,,,,
