CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,q0002_0001_0001,q0002_0001_0002,q0002_0001_0003,q0003_0001_0001,q0003_0001_0002,q0003_0001_0003,q0004,Gender,q0006,q0007,q0008,q0009_0001,q0009_0002,q0009_0003,q0009_0004,q0009_0005,q0009_0006,q0009_other,q0010,q0010_other,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,q0030_0001,count_total
Web Link 1,5257211498,94860628,02/21/2017 12:15:49,02/21/2017 12:18:23,173.8.199.33, , , , ,160001,02,20,2017,02,03,2010,7,Male,1,97333,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,1
Web Link 1,5257418447,94860628,02/21/2017 02:30:25,02/21/2017 02:34:15,173.8.199.33, , , , ,160004,02,21,2017,08,25,2010,6,Female,1,97333,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Always,Always,Frequently,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Never,1
Web Link 1,5257570204,94860628,02/21/2017 04:52:04,02/21/2017 04:54:12,173.8.199.33, , , , ,160002,02,21,2017,02,13,2011,6,Female,K,97333,No, , , , ,White, , ,No, ,Always,Always,Frequently,Always,Always,Frequently,Never,Frequently,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5257641436,94860628,02/21/2017 06:10:52,02/21/2017 06:14:26,173.8.199.33, , , , ,160003,02,21,2017,01,19,2008,9,Male,4,97333,No, , , , ,White, , ,No, ,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Frequently,Frequently,Never,Occasionally,Never,Never,Frequently,Frequently,Frequently,Occasionally,Frequently,Frequently,Occasionally,1
Web Link 1,5258770780,94860628,02/22/2017 10:55:19,02/22/2017 10:58:06,173.8.199.33, , , , ,160005,02,22,2017,09,03,2010,6,Female,K,97330,Yes, ,Asian, , , ,Other (please specify),Hispanic,No, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Never,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5258959506,94860628,02/22/2017 12:43:45,02/22/2017 12:46:12,173.8.199.33, , , , ,160008,02,22,2017,08,08,2010,6,Female,1,97333,Yes, , ,Black/African American, , ,Other (please specify),Hispanic,No, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5259156885,94860628,02/22/2017 02:48:06,02/22/2017 02:52:14,173.8.199.33, , , , ,160009,02,22,2017,02,10,2008,9,Male,4,97330,Yes, , , , ,White,Other (please specify),Hispanic,Yes,Aspergers,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Occasionally,Frequently,Frequently,Occasionally,Frequently,Frequently,Frequently,1
Web Link 1,5275166202,94860628,03/06/2017 09:46:33,03/06/2017 09:48:22,75.170.88.1, , , , ,160006,03,06,2017,08,25,2010,6,Female,K,97333,No, ,Asian, , , , , ,No, ,Frequently,Always,Always,Always,Always,Occasionally,Occasionally,Frequently,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Never,1
Web Link 1,5275170206,94860628,03/06/2017 09:48:35,03/06/2017 09:50:27,75.170.88.1, , , , ,160007,03,06,2017,02,15,2009,8,Male,3,97333,No,American Indian/Alaska Native, , , , , , ,Yes,High Functioning ASD,Always,Always,Always,Always,Always,Occasionally,Frequently,Occasionally,Frequently,Frequently,Occasionally,Frequently,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Never,1
Web Link 1,5275174159,94860628,03/06/2017 09:50:42,03/06/2017 09:53:01,75.170.88.1, , , , ,160010,03,06,2017,08,28,2008,8,Male,3,97321,Yes, , , , , ,Other (please specify),Hispanic,Yes,High functioning ASD,Frequently,Frequently,Frequently,Always,Always,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Frequently,Occasionally,Never,1
Web Link 1,5289325855,94860628,03/16/2017 07:04:51,03/16/2017 07:07:42,216.54.120.67, , , , ,119031,03,16,2017,03,16,2011,6,Female,K,23707,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289329926,94860628,03/16/2017 07:07:55,03/16/2017 07:10:01,216.54.120.67, , , , ,119030,03,16,2017,12,05,2009,7,Male,1,23707,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289333803,94860628,03/16/2017 07:10:30,03/16/2017 07:12:10,216.54.120.67, , , , ,119032,03,16,2017,09,09,2011,5,Female,K,23707,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289337058,94860628,03/16/2017 07:12:19,03/16/2017 07:14:09,216.54.120.67, , , , ,119033,03,16,2017,03,22,2010,6,Female,1,23707,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289340180,94860628,03/16/2017 07:14:31,03/16/2017 07:15:56,216.54.120.67, , , , ,119015,03,16,2017,05,14,2005,11,Female,6,23707,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289345148,94860628,03/16/2017 07:16:18,03/16/2017 07:18:53,216.54.120.67, , , , ,119036,03,16,2017,07,08,2009,7,Female,2,23320,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289347665,94860628,03/16/2017 07:18:57,03/16/2017 07:20:25,216.54.120.67, , , , ,119035,03,16,2017,09,27,2007,9,Female,4,23320,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Always,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5289350730,94860628,03/16/2017 07:20:31,03/16/2017 07:23:46,216.54.120.67, , , , ,119051,03,16,2017,06,03,2007,9,Female,3,23707,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5291676247,94860628,03/17/2017 08:18:20,03/17/2017 08:20:40,216.54.120.67, , , , ,119009,03,17,2017,01,14,2008,9,Female,3,23322,No, ,Asian,Black/African American, , , , ,No, ,Always,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,1
