CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,q0002_0001_0001,q0002_0001_0002,q0002_0001_0003,q0003_0001_0001,q0003_0001_0002,q0003_0001_0003,q0004,Gender,q0006,q0007,q0008,q0009_0001,q0009_0002,q0009_0003,q0009_0004,q0009_0005,q0009_0006,q0009_other,q0010,q0010_other,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,q0030_0001,count_total
Web Link 1,5257290552,94895166,02/21/2017 01:05:06 PM,04/22/2019 07:36:07 AM,173.8.199.33, , , , ,160001,02,20,2017,02,03,2010,7,Male,1,97333,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Occasionally,Never,Never,Frequently,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5257431246,94895166,02/21/2017 02:40:22 PM,02/21/2017 02:50:51 PM,173.8.199.33, , , , ,160004,02,21,2017,08,25,2010,6,Female,1,97333,No, ,Asian, , , , , ,No, ,Always,Always,Always,Always,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Never,Occasionally,1
Web Link 1,5257522347,94895166,02/21/2017 04:01:14 PM,02/21/2017 04:03:27 PM,173.8.199.33, , , , ,160002,02,21,2017,02,13,2011,6,Female,K,97333,No, ,Asian, , ,White, , ,No, ,Always,Always,Frequently,Frequently,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5257652739,94895166,02/21/2017 06:25:59 PM,02/21/2017 06:29:58 PM,173.8.199.33, , , , ,160003,02,21,2017,01,19,2008,9,Male,4,97333,No, , , , ,White, , ,No, ,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Frequently,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5258785907,94895166,02/22/2017 11:04:15 AM,04/22/2019 07:38:49 AM,173.8.199.33, , , , ,160005,02,22,2017,09,03,2010,6,Female,K,97330,Yes, ,Asian, , , ,Other (please specify),Hispanic,Yes,Hypothyroid,Always,Frequently,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,1
Web Link 1,5258974100,94895166,02/22/2017 12:52:23 PM,02/22/2017 12:54:32 PM,173.8.199.33, , , , ,160008,02,22,2017,08,08,2010,6,Female,1,97333,Yes, , ,Black/African American, , ,Other (please specify),Hispanic,No, ,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Never,Never,Never,Never,Never,Frequently,Never,Never,Occasionally,Occasionally,Never,Never,1
Web Link 1,5259168486,94895166,02/22/2017 02:58:38 PM,02/22/2017 03:01:20 PM,173.8.199.33, , , , ,160009,02,22,2017,02,10,2008,9,Male,4,97330,Yes, , , , ,White, , ,Yes,Aspergers,Frequently,Frequently,Frequently,Frequently,Occasionally,Never,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Never,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,1
Web Link 1,5275199868,94895166,03/06/2017 10:05:23 AM,04/22/2019 07:43:16 AM,75.170.88.1, , , , ,160010,03,06,2017,08,28,2008,8,Male,3,97321,Yes, , , , , ,Other (please specify),Hispanic,Yes,HF ASD,Frequently,Frequently,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Frequently,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5275203317,94895166,03/06/2017 10:07:29 AM,03/06/2017 10:09:14 AM,75.170.88.1, , , , ,160007,03,06,2017,02,15,2009,8,Male,3,97333,No,American Indian/Alaska Native, , , , , , ,Yes,HF ASD,Always,Always,Always,Always,Occasionally,Never,Always,Never,Never,Never,Always,Always,Always,Never,Frequently,Frequently,Never,Frequently,Frequently,Frequently,1
Web Link 1,5275206327,94895166,03/06/2017 10:09:24 AM,03/06/2017 10:10:41 AM,75.170.88.1, , , , ,160006,03,06,2017,08,25,2010,6,Female,K,97333,No, ,Asian, , , , , ,No, ,Always,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,1
