IDNumber,data,Age,Gender,ParentHighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0017,q0019,q0020,q0023,q0024,q0025,q0026,q0027,q0028,q0030,q0031,q0032,q0033,q0035,q0036,q0037,q0038,q0040,q0041,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0052,q0053,q0054,q0055,q0058,q0059,q0061,q0062,q0063,q0064,q0065,q0067,q0068,q0070,q0072,q0073,q0074,q0075,q0076,q0077,q0079,q0081,q0082,q0083,q0084,q0085,q0086,q0087,q0088,q0089,q0091,q0093,q0094,q0095,q0096,q0098,q0099,q0101,q0102,q0103,q0105,q0107,q0108,q0110,q0111,q0112,q0113,q0114,q0116,q0118,q0119,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
100002,In-house-Alt,2,Female,Bachelor's degree or higher,MultiRacial,west,2,3,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,3,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,3,2,2 to 4 years,78,17,13,12,15,12,14,12,16
105031,SM,4,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,3,2,1,3,3,2,3,1,3,1,3,3,3,1,1,1,2,3,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,3,3,3,3,3,3,2,2,3,1,1,1,2,2,1,2,1,1,2,2,2,3,2,1,1,2,2,2,1,2 to 4 years,108,20,16,25,14,12,27,14,18
137013,SM,4,Male,Bachelor's degree or higher,White,midwest,1,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,1,2,1,2,2,2,3,3,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,3,4,3,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2 to 4 years,96,19,16,19,13,15,21,12,13
129005,SM,4,Male,Bachelor's degree or higher,White,midwest,3,2,2,3,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,3,2,1,3,2,4,1,2,1,2,1,3,1,1,2,4,4,4,3,2,2,2,1,1,1,2,4,1,1,4,2,2,1,2,4,2,2,2,1,3,1,2,1,1,1,3,1,1,1,2,1,2,1,1,1,2,1,2,1,2 to 4 years,116,20,16,21,25,17,22,15,14
105107,SM,4,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,1,1,1,2,2,2,1,1,3,3,1,1,1,2,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2 to 4 years,72,17,15,14,12,11,10,10,11
105040,SM,3,Female,Bachelor's degree or higher,White,west,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2 to 4 years,69,14,11,11,11,10,14,12,15
134017,SM,3,Female,Bachelor's degree or higher,White,west,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2 to 4 years,69,12,12,12,11,11,12,11,14
216042,SM,2,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,2,2,1,2,2,2,2,1,2,3,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2 to 4 years,94,19,18,15,16,12,19,14,14
126185,SM,2,Male,Bachelor's degree or higher,White,midwest,2,2,2,3,2,2,2,3,3,3,2,2,2,2,1,1,1,2,2,3,2,2,3,3,2,2,2,1,1,2,1,2,2,3,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,3,1,3,1,2,2,1,2,2,2,1,2,3,1,2,2,3,2,2,2,3,1,2 to 4 years,100,24,18,20,16,12,16,18,21
216008,SM,2,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2 to 4 years,84,21,16,16,11,13,16,12,15
230017,SM,2,Female,Bachelor's degree or higher,White,midwest,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2 to 4 years,76,15,13,13,14,11,12,13,17
129011,SM,4,Female,Bachelor's degree or higher,White,midwest,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2 to 4 years,74,12,12,15,10,11,13,13,13
132015,SM,4,Female,Bachelor's degree or higher,White,midwest,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2 to 4 years,86,18,16,18,12,11,15,14,17
199002,SM,5,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,5 years,79,21,15,16,11,12,11,14,20
132039,SM,5,Male,Bachelor's degree or higher,White,midwest,3,2,3,3,2,2,3,2,3,3,1,2,1,2,2,1,1,3,1,2,1,2,1,2,1,1,1,2,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,5 years,83,26,16,13,15,12,13,14,15
105091,SM,4,Male,Bachelor's degree or higher,MultiRacial,south,2,2,2,2,2,3,1,2,3,3,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,3,2,4,2,3,3,2,1,2,2,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2 to 4 years,94,22,11,18,15,12,24,14,11
216039,SM,3,Female,Bachelor's degree or higher,White,midwest,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2 to 4 years,71,12,11,12,12,16,10,10,11
216003,SM,3,Female,Bachelor's degree or higher,White,midwest,2,2,2,2,1,1,1,1,2,2,2,2,1,1,3,1,2,2,2,3,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,1,2,1,3,1,1,2,2,2,1,3,2,2,1,2,2,2,2,2,2,1,1,2,3,2,2 to 4 years,96,16,19,16,14,10,19,18,19
106012,SM,3,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2 to 4 years,71,10,11,13,11,11,13,12,13
216017,SM,3,Female,Bachelor's degree or higher,White,midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,3,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2 to 4 years,89,20,17,16,15,14,14,13,12
132025,SM,3,Female,Bachelor's degree or higher,White,midwest,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,1,3,1,3,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2 to 4 years,88,16,14,10,14,17,21,12,10
132001,SM,5,Female,Some college or associate degree,White,midwest,2,2,2,2,1,2,2,2,3,3,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,5 years,73,21,13,13,11,15,11,10,13
105118,SM,2,Female,Some college or associate degree,White,midwest,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2 to 4 years,78,17,15,15,13,11,13,11,14
132041,SM,4,Male,Bachelor's degree or higher,Hispanic,midwest,2,3,3,2,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2 to 4 years,78,18,13,13,13,10,18,11,16
